Index,Electrolyte,Cathode,Difference in TEC,Average TEC
318,Li2S3Te1,Li1Mn1O2,0.30510638,0.700400568
319,F3La2Li1O8S2,Li1Mn1O2,0.039885183,0.56778997
320,B2Li2S5,Li1Mn1O2,0.038540929,0.528576914
321,Au1Li1O14S4,Li1Mn1O2,0.00250715,0.549100953
322,Cr1Li1S2,Li1Mn1O2,0.026649713,0.534522522
323,Er1Li1S2,Li1Mn1O2,0.190043919,0.642869338
324,F1Li1O3S1,Li1Mn1O2,0.114422911,0.605058834
325,Li1S2Ti1,Li1Mn1O2,0.032824232,0.531435262
326,Ho1Li1S2,Li1Mn1O2,0.119184565,0.607439661
327,Dy1Li1S2,Li1Mn1O2,0.096145011,0.595919884
328,Li1S2Y1,Li1Mn1O2,0.016347553,0.556021155
329,Cs2Li1S4V1,Li1Mn1O2,0.05530004,0.575497398
330,B1Li3S3,Li1Mn1O2,0.169023698,0.632359227
331,B1Cs1Li2S3,Li1Mn1O2,0.112119319,0.603907038
332,Li1Rb2S4V1,Li1Mn1O2,0.045187061,0.570440909
333,Li2S3U1,Li1Mn1O2,0.032715408,0.564205082
334,Cd1Ge1Li2S4,Li1Mn1O2,0.204009805,0.649852281
335,Cs1Li1O4S1,Li1Mn1O2,0.100471387,0.598083072
336,Li3P1S4,Li1Mn1O2,0.262442246,0.679068501
337,Li1Rb2S4Ta1,Li1Mn1O2,0.021316611,0.537189073
338,K1Li1S1,Li1Mn1O2,0.914652835,1.005173796
339,B3Ba1Li1S6,Li1Mn1O2,0.019083788,0.538305484
340,B1Ba1Li1S3,Li1Mn1O2,0.039906147,0.567800452
341,H1Li1O4S1,Li1Mn1O2,0.012300537,0.553997647
342,Eu1Ge1Li2S4,Li1Mn1O2,0.161194735,0.628444746
343,I1Li6P1S5,Li1Mn1O2,0.670306512,0.883000634
344,Li1P1S4Zn1,Li1Mn1O2,0.171069383,0.63338207
345,Li1Nb1Rb2S4,Li1Mn1O2,0.009738104,0.55271643
346,As1Li1S2,Li1Mn1O2,0.218682622,0.657188689
347,Li1Rb1S1,Li1Mn1O2,0.963006651,1.029350704
348,Li1O4Rb1S1,Li1Mn1O2,0.093091269,0.594393013
349,Ge1Li2Pb1S4,Li1Mn1O2,0.214515969,0.655105363
350,Au1Li3S2,Li1Mn1O2,0.740803512,0.918249134
351,F1Li1Ni1O4S1,Li1Mn1O2,0.053103723,0.57439924
352,As1Li3S3,Li1Mn1O2,0.386448826,0.741071791
353,Au1Li1S1,Li1Mn1O2,0.547150569,0.821422663
354,Li1Na1S1,Li1Mn1O2,0.786021896,0.940858326
355,F1Li1O4S1Zn1,Li1Mn1O2,0.112779647,0.604237202
356,H2Li2O5S1,Li1Mn1O2,0.079559441,0.587627099
357,As1Eu1Li1S3,Li1Mn1O2,0.165103255,0.630399005
358,H1Li1S1,Li1Mn1O2,0.503292401,0.799493579
359,Li1S6Ti3,Li1Mn1O2,0.055661743,0.520016507
360,Li9N1S3,Li1Mn1O2,0.567609436,0.831652096
361,K1Li1O4S1,Li1Mn1O2,0.076700959,0.586197858
362,Li1Mo1S2,Li1Mn1O2,0.110870192,0.492412282
363,F1Fe1Li1O4S1,Li1Mn1O2,0.022071255,0.558883006
364,Li7P3S11,Li1Mn1O2,0.223852546,0.659773651
365,Li1S2V1,Li1Mn1O2,0.064793899,0.515450429
366,Cs1H4Li1O5S1,Li1Mn1O2,0.290930129,0.693312443
367,Ga2Ge1Li2S6,Li1Mn1O2,0.158728282,0.627211519
368,Li1O5S2Ti2Y2,Li1Mn1O2,0.133367275,0.481163741
369,H4K1Li1N2O6S2,Li1Mn1O2,0.054410861,0.575052809
370,Cs1H4Li1N2O6S2,Li1Mn1O2,0.089671376,0.592683066
371,Li2O4S1,Li1Mn1O2,0.019335033,0.557514895
372,Li2S1,Li1Mn1O2,0.623653761,0.859674259
373,H5Li1N2O4S1,Li1Mn1O2,0.362573837,0.729134297
374,Li2O5S2Ti2Y2,Li1Mn1O2,0.119852718,0.487921019
375,C1F3Li1O3S1,Li1Mn1O2,0.037639919,0.566667338
376,Eu1Li1O8S2,Li1Mn1O2,0.063841782,0.515926487
377,Li1S1,Li1Mn1O2,1.044873119,1.070283938
378,Li1Nb1S2,Li2Mn1O2,0.304404817,0.563383423
379,Cs2Li1Nb1S4,Li2Mn1O2,0.13993606,0.645617801
380,Al1Li1S2,Li2Mn1O2,0.026254939,0.702458362
381,Li2S3Te1,Li2Mn1O2,0.137367927,0.784269794
382,F3La2Li1O8S2,Li2Mn1O2,0.12785327,0.651659196
383,B2Li2S5,Li2Mn1O2,0.206279382,0.61244614
384,Au1Li1O14S4,Li2Mn1O2,0.165231303,0.63297018
385,Cr1Li1S2,Li2Mn1O2,0.194388166,0.618391748
386,Er1Li1S2,Li2Mn1O2,0.022305466,0.726738564
387,F1Li1O3S1,Li2Mn1O2,0.053315542,0.68892806
388,Li1S2Ti1,Li2Mn1O2,0.200562685,0.615304489
